site_age_z,region,mean,Q5,Q95,site_age
-1.1476597979336647,North,0.13968074831405222,0.00196899019423746,0.43142489079430735,8.018716427193665
-1.1119354406990896,North,0.14668590880372254,0.002445097918131594,0.4474982602675538,8.297423012615049
-1.0762110834645149,North,0.15414403052904185,0.0031038908324549958,0.46090347853856894,8.576129598036431
-1.0404867262299398,North,0.16206428352828348,0.003946943936183381,0.4735371228758837,8.854836183457815
-1.004762368995365,North,0.17046493179481695,0.00494143868998768,0.48729758547315283,9.133542768879197
-0.9690380117607901,North,0.17938873516562462,0.00606762135030081,0.5059770486064308,9.412249354300581
-0.9333136545262153,North,0.18890870653247357,0.007522054727236987,0.5212530810384788,9.690955939721963
-0.8975892972916403,North,0.19907461676745608,0.009292133609937398,0.5358216201944092,9.969662525143347
-0.8618649400570655,North,0.20983378068737846,0.011321824793915115,0.5558146614197897,10.24836911056473
-0.8261405828224904,North,0.22120190027268874,0.013518642473778245,0.5699374369908188,10.527075695986113
-0.7904162255879156,North,0.23328947456507235,0.016891486284271583,0.5852148566866117,10.805782281407495
-0.7546918683533406,North,0.24614038751104658,0.020065273650979834,0.6034756421166761,11.08448886682888
-0.7189675111187656,North,0.25969128711913014,0.02399370223955852,0.6253730711710425,11.363195452250263
-0.6832431538841908,North,0.27389216336535027,0.027695622224412304,0.6415905255376947,11.641902037671645
-0.647518796649616,North,0.28868183775324147,0.032729174853651476,0.6655935951190024,11.920608623093027
-0.611794439415041,North,0.3040038169368756,0.03743907222413017,0.6933381192001467,12.199315208514411
-0.576070082180466,North,0.31991035504470716,0.04425685711896037,0.7201434720993938,12.478021793935795
-0.5403457249458912,North,0.33638981141712565,0.05067331528175643,0.7493672768766912,12.756728379357178
-0.5046213677113164,North,0.3533813160280856,0.05971805491428899,0.7778565157149918,13.03543496477856
-0.46889701047674137,North,0.37081496232083316,0.06995205345596735,0.8005747725088826,13.314141550199944
-0.43317265324216636,North,0.3886169228850721,0.08064980577801276,0.8233401225359002,13.592848135621328
-0.3974482960075916,North,0.4067286197357934,0.09260671104041909,0.8432923412898761,13.87155472104271
-0.3617239387730168,North,0.4250978819747789,0.10709964711184658,0.8646720275703057,14.150261306464092
-0.3259995815384418,North,0.4436584139375054,0.12197434577516875,0.8839411365606338,14.428967891885476
-0.29027522430386676,North,0.4623265957398284,0.13435300666359104,0.9041293634305759,14.70767447730686
-0.254550867069292,North,0.4810080384640114,0.148463278493953,0.9168736664506478,14.986381062728242
-0.21882650983471696,North,0.4996081522738767,0.16234179516241576,0.9279126190827951,15.265087648149626
-0.18310215260014193,North,0.5180414297771139,0.17721960034301606,0.9417226479888645,15.54379423357101
-0.14737779536556714,North,0.5362343546848026,0.19345955168316203,0.9522009115433328,15.822500818992392
-0.11165343813099236,North,0.554123297127671,0.21112001722304102,0.9593469667962135,16.101207404413774
-0.07592908089641712,North,0.5716522037773933,0.22372091146184306,0.9670849457047191,16.37991398983516
-0.04020472366184233,North,0.5887720359267539,0.24004769364264858,0.9754171438733797,16.658620575256542
-0.004480366427267539,North,0.6054411069520134,0.25357462224034066,0.9802716969828402,16.937327160677924
0.03124399080730725,North,0.621625351170816,0.26472760760026165,0.9840211569558359,17.216033746099306
0.06696834804188204,North,0.6372982991661617,0.2763987758575917,0.987120098289657,17.49474033152069
0.10269270527645728,North,0.6524408109996978,0.2907384146484769,0.9899610815538789,17.773446916942074
0.13841706251103209,North,0.6670405844672868,0.3043298941127444,0.9919399332722899,18.052153502363456
0.17414141974560732,North,0.6810914683745788,0.31695681343898785,0.9936139610295057,18.330860087784842
0.2098657769801821,North,0.6945926669373733,0.3284158025605081,0.9949156835064906,18.609566673206224
0.2455901342147569,North,0.7075479257510721,0.341541118642889,0.9961202960646458,18.888273258627606
0.2813144914493317,North,0.7199647484502316,0.35557560822737966,0.9969939183483022,19.16697984404899
0.31703884868390647,North,0.7318536582168292,0.36972608053753103,0.9976783900612438,19.44568642947037
0.35276320591848126,North,0.7432275109459783,0.3824092251981451,0.998157451516152,19.724393014891753
0.3884875631530565,North,0.7541008741525068,0.39323430861588093,0.9985132408044999,20.00309960031314
0.4242119203876313,North,0.7644894898212031,0.40470749240485165,0.998853062058095,20.28180618573452
0.45993627762220657,North,0.7744098345194336,0.41662557734453365,0.9991073457993268,20.560512771155906
0.49566063485678136,North,0.7838787799155784,0.4265975305187072,0.9993134020938798,20.83921935657729
0.5313849920913561,North,0.7929133466001338,0.436768553346401,0.9994439492319692,21.11792594199867
0.5671093493259309,North,0.8015305363754488,0.4463390521032533,0.999555557329985,21.396632527420053
0.6028337065605057,North,0.8097472233626861,0.45778099200693373,0.9996545342745677,21.675339112841435
0.638558063795081,North,0.8175800824753933,0.46793176977654966,0.9997290757482422,21.95404569826282
0.6742824210296557,North,0.8250455356224098,0.4804320822184374,0.9997845302562833,22.232752283684203
0.710006778264231,North,0.8321597016280622,0.49202050255698393,0.9998289567571341,22.51145886910559
0.7457311354988058,North,0.838938343872634,0.5012121443174213,0.9998603374910886,22.79016545452697
0.7814554927333806,North,0.84539681715971,0.5155934862809339,0.9998904096131147,23.068872039948353
0.8171798499679553,North,0.8515500195931615,0.5242390091746322,0.9999061627824465,23.347578625369735
0.8529042072025301,North,0.8574123554047713,0.5353023223245978,0.999927836013533,23.626285210791117
