model,variable,rhat,ess_bulk,ess_tail
Naive,b_Intercept,1.0015119920720423,3189.276542557189,2727.960602665034
Naive,b_site_age_z,1.000375353237678,3540.323299528568,2701.1806903503098
Occurrence,b_Intercept,1.0014024774567767,2117.101497357368,1496.7275104229252
Occurrence,b_site_age_z,1.0016852196616406,3013.35074760847,2494.8648586509707
Occurrence,sd_region__Intercept,1.0013340599563223,1741.2504445350637,1634.2263098729882
Detection,b_Intercept,1.000180066721696,3106.4745179476404,3116.452529814225
Detection,b_cloud_cover_z,1.000662556717244,3033.491709619993,2833.2373871024793
Detection,b_sensor_advanced,1.0001271101553642,3215.4284828926075,2853.0187672802385
