model,parameter,Estimate,Est.Error,Q2.5,Q97.5
Naive,b_Intercept,-0.1413141020024346,0.4334753437660849,-1.001125026239359,0.6960536374391955
Naive,b_site_age_z,0.9428155326619457,0.45657987513429005,0.11972996966276647,1.8676281572745363
Occurrence,b_Intercept,0.31972754856145813,0.5723391992911618,-0.8422776672918547,1.4691047931266217
Occurrence,b_site_age_z,1.4575381392500124,0.5895913689831419,0.4042428103141794,2.6912754574187865
Occurrence,sd_region__Intercept,0.5778105114679385,0.5609336692890322,0.017216554591884668,2.0118664726987
Detection,b_Intercept,-0.7877908911030204,0.3890664684851972,-1.5771451195968436,-0.04780128052582886
Detection,b_cloud_cover_z,-1.0349193230188747,0.3565436675175016,-1.7729962816963114,-0.3784843596131655
Detection,b_sensor_advanced,1.3295965267794527,0.5769077970555372,0.2153052792319512,2.4887240683547396
